id=393216 count=132742815
id=196608 count=98429115
id=458752 count=89530811
id=0 count=52489939
id=524288 count=41864592
id=1900544 count=21189588
id=1835009 count=19043578
id=1835011 count=13563253
id=65536 count=13105448
id=1376258 count=12434234
id=1966080 count=9246554
id=15330280 count=9198715
id=1310722 count=8185091
id=1835013 count=7517276
id=131072 count=5928995
id=1835010 count=3455467
id=1835012 count=2640876
id=1376257 count=2547294
id=1769472 count=2345362
id=1310721 count=2203493
id=15265000 count=2096057
id=4080190 count=1955979
id=8296598 count=1936086
id=4277313 count=1844511
id=3882555 count=1725418
id=8230804 count=1546790
id=4540741 count=1497762
id=4145983 count=1415372
id=786435 count=1405142
id=3619639 count=1310492
